grid_lat,grid_lon,total
33,-111,20
36,-78,29
33,-93,4
43,-70,11
39,-104,14
41,-104,5
39,-76,75
29,-80,26
34,-80,8
31,-87,8
40,-82,28
33,-96,119
36,-86,33
41,-73,199
40,-85,29
35,-118,4
26,-97,9
38,-121,76
39,-94,28
48,-121,18
47,-121,23
30,-94,118
34,-117,303
30,-80,5
30,-95,27
42,-87,98
41,-72,22
38,-94,1
37,-121,26
42,-70,37
37,-81,1
35,-96,10
34,-116,19
46,-122,22
31,-82,2
39,-89,20
36,-121,1
30,-89,38
26,-108,1
35,-80,28
44,-78,43
27,-79,13
34,-83,86
32,-82,1
39,-84,7
29,-98,40
40,-119,5
32,-80,9
43,-74,4
30,-97,39
33,-116,36
42,-83,14
26,-79,52
36,-79,29
38,-90,2
40,-111,6
40,-76,3
48,-103,1
44,-92,1
32,-84,5
34,-84,14
30,-92,3
50,-114,1
40,-74,72
36,-95,5
44,-87,1
38,-96,3
40,-79,12
28,-81,17
47,-96,3
34,-79,4
35,-114,1
24,-104,3
48,-122,4
37,-119,19
32,-99,2
37,-75,20
26,-99,44
45,-92,23
38,-120,12
42,-72,23
41,-81,24
41,-111,13
34,-101,10
34,-111,36
43,-78,12
39,-120,25
36,-114,49
40,-73,14
28,-97,4
40,-75,13
37,-86,4
38,-104,2
41,-79,11
37,-89,1
38,-76,8
43,-85,5
45,-79,2
39,-75,2
43,-76,3
43,-82,14
27,-81,7
39,-90,4
30,-83,10
38,-122,7
35,-116,3
31,-85,2
41,-80,8
33,-79,2
46,-73,11
34,-115,9
38,-75,3
39,-83,4
35,-81,12
32,-101,12
38,-77,1
42,-73,6
25,-102,6
36,-85,8
47,-116,3
44,-83,1
42,-95,1
41,-96,4
46,-72,3
41,-105,1
37,-100,1
41,-95,3
45,-93,1
31,-95,10
37,-120,3
44,-84,3
36,-83,5
42,-111,3
38,-85,8
42,-76,4
36,-80,7
43,-105,1
39,-86,2
43,-92,2
39,-100,1
42,-81,8
38,-87,1
31,-88,1
36,-118,2
28,-82,11
44,-69,2
35,-97,7
42,-82,24
30,-90,19
39,-93,3
43,-83,7
32,-105,15
41,-75,3
47,-80,1
35,-91,7
32,-81,3
43,-87,15
44,-96,2
29,-96,6
42,-93,5
29,-81,2
45,-75,6
31,-97,8
43,-89,1
35,-89,16
38,-84,3
40,-104,23
32,-89,3
33,-80,2
43,-73,9
39,-74,7
39,-96,3
37,-96,2
44,-115,7
33,-83,6
34,-118,18
32,-96,4
42,-91,3
32,-110,12
47,-70,4
34,-87,3
30,-81,4
41,-86,1
40,-94,1
40,-83,10
48,-116,3
30,-91,4
31,-86,2
43,-88,4
49,-122,9
28,-100,2
28,-96,6
30,-98,3
40,-87,1
38,-86,1
47,-122,6
41,-90,1
45,-122,13
33,-87,5
47,-100,1
41,-121,1
35,-78,2
35,-120,3
35,-106,7
27,-99,1
42,-88,3
37,-113,1
45,-90,2
34,-98,2
48,-78,1
31,-110,1
35,-93,1
43,-84,3
33,-109,1
30,-86,2
42,-71,9
38,-93,1
39,-81,2
33,-81,3
42,-85,12
48,-88,2
25,-79,1
35,-86,6
29,-94,3
34,-86,5
41,-74,7
43,-71,1
44,-79,4
41,-88,2
45,-73,4
26,-81,4
42,-121,3
37,-76,7
44,-72,3
36,-116,1
39,-101,1
39,-95,1
40,-90,2
41,-83,1
33,-84,7
41,-87,2
25,-106,5
36,-120,1
43,-79,8
33,-92,2
35,-117,3
37,-85,2
33,-91,2
40,-121,4
49,-120,1
37,-79,3
28,-79,3
44,-122,2
49,-121,4
32,-116,6
40,-89,3
43,-80,1
33,-117,1
42,-86,4
40,-84,2
45,-78,1
41,-93,3
37,-118,2
41,-82,3
38,-119,3
38,-81,2
35,-84,3
33,-114,3
31,-103,2
28,-98,2
44,-99,1
43,-111,3
25,-103,1
37,-92,2
39,-92,1
43,-77,3
47,-95,2
28,-80,3
32,-103,3
38,-97,1
35,-83,1
39,-108,1
41,-97,1
40,-95,1
42,-78,2
34,-77,2
31,-112,1
36,-81,1
27,-82,3
39,-82,2
32,-83,1
34,-78,4
25,-99,1
32,-85,4
37,-87,1
36,-93,1
39,-119,1
40,-86,3
33,-86,4
31,-100,2
26,-100,1
36,-96,3
24,-101,1
42,-103,1
31,-99,2
28,-109,2
32,-90,1
43,-91,2
30,-88,2
42,-80,1
39,-121,6
37,-82,1
37,-95,1
43,-115,1
32,-95,1
26,-96,1
33,-95,1
41,-85,2
30,-93,2
36,-94,1
49,-123,1
38,-78,1
48,-100,1
34,-85,1
38,-88,1
49,-93,1
34,-119,1
32,-106,1
35,-111,2
31,-106,4
41,-71,1
34,-82,2
42,-90,2
32,-94,2
38,-92,1
43,-90,1
36,-82,1
31,-108,1
38,-99,1
39,-98,2
39,-91,1
29,-105,2
33,-101,1
42,-79,1
33,-105,2
36,-119,1
50,-96,2
32,-100,1
34,-89,1
38,-89,1
40,-80,1
41,-84,1
45,-91,1
46,-108,1
32,-93,1
33,-115,1
40,-81,1
41,-92,1
46,-119,1
36,-98,1
27,-109,1
33,-112,1
44,-85,1
32,-109,1
35,-82,1
43,-75,1
45,-96,1
36,-75,1
34,-96,1
32,-97,1
45,-72,1
43,-72,1
